molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units
CHEMBL91832,CC1(C)C(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,IC50,5.0,nM
CHEMBL91118,C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,IC50,1.2,nM
CHEMBL92443,C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C,IC50,2.2,nM
CHEMBL282185,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1C(=O)c1ccc(Cl)cc1,IC50,730.0,nM
CHEMBL144658,CCCCSc1ccccc1OC(C)=O,IC50,34000.0,nM
CHEMBL145283,CCCCC#CCSc1ccccc1OC(=O)CC,IC50,40000.0,nM
CHEMBL19286,C[C@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1,IC50,100000.0,nM
CHEMBL342799,CCCCCCC[Se]c1ccccc1OC(C)=O,IC50,12000.0,nM
CHEMBL145354,CC(=O)Oc1ccccc1SCCCc1ccccc1,IC50,1000000.0,nM
CHEMBL145493,CCCCCCC[S+]([O-])c1ccccc1OC(C)=O,IC50,40000.0,nM
CHEMBL344960,CC(=O)Oc1ccccc1SCCCCC(=O)O,IC50,50000.0,nM
CHEMBL144414,CC(=O)Oc1ccccc1SCCCCC#N,IC50,50000.0,nM
CHEMBL144547,CCCCC#CCSc1ccccc1OC(=O)CBr,IC50,26000.0,nM
CHEMBL144944,CC(=O)Oc1ccccc1SC1CCCCCC1,IC50,40000.0,nM
CHEMBL143339,CCCCCCCSc1ccccc1OC(C)=O,IC50,2000.0,nM
CHEMBL328003,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C2)cc1,IC50,110.0,nM
CHEMBL420987,CC1(C)C(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,IC50,2.8,nM
CHEMBL145598,CCCCCCCCc1ccccc1OC(C)=O,IC50,40000.0,nM
CHEMBL416542,CC(C(=O)O)c1ccc(CC2CCCC2O)cc1,IC50,25000.0,nM
CHEMBL122,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,IC50,530.0,nM
CHEMBL330516,CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)/C1=N/O,IC50,61.0,nM
CHEMBL42485,CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1,IC50,2.1,nM
CHEMBL345018,CCCCC#CCSc1ccccc1OC(C)=O,IC50,800.0,nM
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,5.9,nM
CHEMBL342317,CCSc1ccccc1OC(C)=O,IC50,200000.0,nM
CHEMBL357380,CCCCCC#CCSc1ccccc1OC(C)=O,IC50,7000.0,nM
CHEMBL92154,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,IC50,1.1,nM
CHEMBL145029,CC(=O)Oc1ccccc1SCCc1ccccc1,IC50,100000.0,nM
CHEMBL358309,CC(=O)Oc1ccccc1SCCCCCBr,IC50,9500.0,nM
CHEMBL328521,CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)C1O,IC50,530.0,nM
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,120.0,nM
CHEMBL144806,CCCCCSc1ccccc1OC(C)=O,IC50,5000.0,nM
CHEMBL144533,CC(=O)Oc1ccccc1SCCCCCCBr,IC50,12000.0,nM
CHEMBL145364,CSc1ccccc1OC(C)=O,IC50,250000.0,nM
CHEMBL146441,CSc1ccccc1OC(=O)CBr,IC50,510000.0,nM
CHEMBL358097,CCCSc1ccccc1OC(C)=O,IC50,66000.0,nM
CHEMBL144850,CCCCCCCCSc1ccccc1OC(C)=O,IC50,40000.0,nM
CHEMBL143962,CCCCCCCCCSc1ccccc1OC(C)=O,IC50,40000.0,nM
CHEMBL356794,CCCC/C=C/CSc1ccccc1OC(C)=O,IC50,11000.0,nM
CHEMBL144920,CCCC#CCSc1ccccc1OC(C)=O,IC50,3000.0,nM
CHEMBL93803,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)CC2)cc1,IC50,5000.0,nM
CHEMBL144218,CCCCCCSc1ccccc1OC(C)=O,IC50,3500.0,nM
CHEMBL145180,CC(=O)Oc1ccccc1SCCCCCCI,IC50,10000.0,nM
CHEMBL145138,CCCCCCCN(C)c1ccccc1OC(C)=O,IC50,40000.0,nM
CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,IC50,62500.0,nM
CHEMBL144281,CSc1ccccc1OC(=O)CCl,IC50,360000.0,nM
CHEMBL19299,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,IC50,100000.0,nM
CHEMBL441414,C[C@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1,IC50,390.0,nM
CHEMBL281910,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1C(=O)c1ccc(Br)cc1,IC50,20000.0,nM
CHEMBL144913,CSc1ccccc1OC(=O)C(F)(F)F,IC50,260000.0,nM
CHEMBL358783,CCCCCCCS(=O)(=O)c1ccccc1OC(C)=O,IC50,40000.0,nM
CHEMBL145220,CC(=O)Oc1ccccc1SCc1ccccc1,IC50,250000.0,nM
CHEMBL282096,CS(=O)(=O)c1ccc2c(c1)cc(C(=O)O)n2Cc1ccc(Cl)cc1,IC50,20000.0,nM
CHEMBL145647,CCCOCCCSc1ccccc1OC(C)=O,IC50,50000.0,nM
